X,Y,F
-0.361975721866352,-1.63629190778273,1.66372823467667
2.95987232726996,1.24005210638047,0.650481948321754
2.03947125446039,0.694828129302437,1.20441494067593
0.422505298960606,2.07787999442729,1.23150889416748
0.389465642950839,0.572168917295563,3.22702861458535
-2.15740630709506,-0.536804111566582,1.15231258732311
2.05556199537952,2.22740965178875,0.71513564829593
-0.327729458764132,-1.67236593986684,1.63125004138432
-2.55503496191349,2.55417150853997,0.5314909817942
1.01401164336456,-1.49762616364696,1.51770869940058
2.18544953157786,2.00425897142949,0.741204427275065
0.327590749442482,1.67243650850664,1.63120176633012
-0.0389811939184979,2.84676987627679,0.791638848076905
1.68924330982595,-0.221463497546842,1.63179086271589
2.30802618183848,1.43185985703763,0.853132448510908
1.46615470723858,0.794984758783826,1.67307650429981
-0.332280093182875,2.49268530064558,0.96108909827984
-2.20852975016658,2.74072382127417,0.555973666212781
-2.67273847704584,2.72366343385625,0.483037140432635
1.5286883037837,-2.62629831201078,0.712102943675309
-3,-3,0.4
-3,-2.9,0.41215868109222
-3,-2.8,0.424628450106157
-3,-2.7,0.437397484964461
-3,-2.6,0.45045045045045
-3,-2.5,0.463768115942029
-3,-2.4,0.477326968973747
-3,-2.3,0.49109883364027
-3,-2.2,0.505050505050505
-3,-2.1,0.519143413367943
-3,-2,0.533333333333333
-3,-1.9,0.54757015742642
-3,-1.8,0.561797752808989
-3,-1.7,0.575953923686105
-3,-1.6,0.589970501474926
-3,-1.5,0.60377358490566
-3,-1.4,0.617283950617284
-3,-1.3,0.630417651694247
-3,-1.2,0.643086816720257
-3,-1.1,0.655200655200655
-3,-1,0.666666666666667
-3,-0.9,0.677392040643522
-3,-0.8,0.687285223367698
-3,-0.7,0.696257615317668
-3,-0.6,0.704225352112676
-3,-0.5,0.711111111111111
-3,-0.4,0.716845878136201
-3,-0.3,0.721370604147881
-3,-0.2,0.72463768115942
-3,-0.1,0.72661217075386
-3,0,0.727272727272727
-3,0.1,0.72661217075386
-3,0.2,0.72463768115942
-3,0.3,0.721370604147881
-3,0.4,0.716845878136201
-3,0.5,0.711111111111111
-3,0.6,0.704225352112676
-3,0.7,0.696257615317668
-3,0.8,0.687285223367698
-3,0.9,0.677392040643522
-3,1,0.666666666666667
-3,1.1,0.655200655200655
-3,1.2,0.643086816720257
-3,1.3,0.630417651694247
-3,1.4,0.617283950617284
-3,1.5,0.60377358490566
-3,1.6,0.589970501474926
-3,1.7,0.575953923686105
-3,1.8,0.561797752808989
-3,1.9,0.54757015742642
-3,2,0.533333333333333
-3,2.1,0.519143413367943
-3,2.2,0.505050505050505
-3,2.3,0.49109883364027
-3,2.4,0.477326968973747
-3,2.5,0.463768115942029
-3,2.6,0.45045045045045
-3,2.7,0.437397484964461
-3,2.8,0.424628450106157
-3,2.9,0.41215868109222
-3,3,0.4
-2.9,-3,0.41215868109222
-2.9,-2.9,0.425079702444208
-2.9,-2.8,0.438356164383562
-2.9,-2.7,0.451977401129943
-2.9,-2.6,0.46592894583576
-2.9,-2.5,0.480192076830732
