X,Y,F
-0.624055318912504,-0.990781547965198,-1.92140729619189
2.52175855904859,2.14434286093906,-1.89122891531457
1.56642818464116,2.67628725470889,-5.36205630041752
0.183747975896986,1.29369795608653,0.299908717271478
-2.26995429100235,-1.82493522596195,1.15456116548755
-1.72930080367469,-2.83867406142845,5.65503064070205
-0.935127913936769,-0.25361212930959,-4.6736126673025
-0.566372072688856,-0.956536578470035,-1.85553912449912
-1.3005195484265,-0.29183698289372,-5.5376940182201
1.6255367176201,-0.618860399727444,4.8799199500309
-1.06464774302781,-0.00813815393674622,-5.247535447599
0.566508679549794,0.956387347065934,1.85633042743582
1.64442056013374,1.35263301440343,1.29510300739545
2.13265375074294,-2.25735835248077,-3.21860005747007
-2.60014899251986,-0.921440757792778,-1.86979615458407
2.05466943724422,0.0671366492908301,5.29923334957436
-0.875272852339612,0.222658374165804,-4.49259823410063
-0.320623960187804,2.5145357683102,1.53121394362815
-2.4206784324303,1.69947993399098,0.508237050162566
0.664391227454038,0.756799501310289,2.68965937966373
-3,-3,0.838246494596777
-3,-2.9,0.822129744550225
-3,-2.8,0.797798545856088
-3,-2.7,0.765496007808894
-3,-2.6,0.725544886691012
-3,-2.5,0.678344360898567
-3,-2.4,0.624366042482856
-3,-2.3,0.56414926495863
-3,-2.2,0.498295694461892
-3,-2.1,0.427463318100747
-3,-2,0.352359869565726
-3,-1.9,0.273735757688691
-3,-1.8,0.192376568605843
-3,-1.7,0.109095216440724
-3,-1.6,0.0247238209350129
-3,-1.5,-0.0598946068168721
-3,-1.4,-0.143914587455968
-3,-1.3,-0.226496621109041
-3,-1.2,-0.306815575393821
-3,-1.1,-0.384068929869012
-3,-1,-0.45748479455326
-3,-0.9,-0.5263296223947
-3,-0.8,-0.589915538630613
-3,-0.7,-0.647607213804681
-3,-0.6,-0.698828211768896
-3,-0.5,-0.74306674924301
-3,-0.4,-0.779880809383899
-3,-0.3,-0.808902558271745
-3,-0.2,-0.829842020184975
-3,-0.1,-0.842489974941819
-3,0,-0.846720048359203
-3,0.1,-0.842489974941819
-3,0.2,-0.829842020184975
-3,0.3,-0.808902558271745
-3,0.4,-0.779880809383899
-3,0.5,-0.74306674924301
-3,0.6,-0.698828211768896
-3,0.7,-0.647607213804681
-3,0.8,-0.589915538630613
-3,0.9,-0.5263296223947
-3,1,-0.45748479455326
-3,1.1,-0.384068929869012
-3,1.2,-0.306815575393821
-3,1.3,-0.226496621109041
-3,1.4,-0.143914587455968
-3,1.5,-0.0598946068168721
-3,1.6,0.0247238209350129
-3,1.7,0.109095216440724
-3,1.8,0.192376568605843
-3,1.9,0.273735757688691
-3,2,0.352359869565726
-3,2.1,0.427463318100747
-3,2.2,0.498295694461892
-3,2.3,0.56414926495863
-3,2.4,0.624366042482856
-3,2.5,0.678344360898567
-3,2.6,0.725544886691012
-3,2.7,0.765496007808894
-3,2.8,0.797798545856088
-3,2.9,0.822129744550225
-3,3,0.838246494596777
-2.9,-3,1.42113024443119
-2.9,-2.9,1.39380653824127
-2.9,-2.8,1.35255637785243
-2.9,-2.7,1.29779192123178
-2.9,-2.6,1.23006035672716
-2.9,-2.5,1.15003843574201
-2.9,-2.4,1.05852571085909
-2.9,-2.3,0.956436546975354
-2.9,-2.2,0.844790985270124
-2.9,-2.1,0.724704551290848
-2.9,-2,0.597377108990548
-2.9,-1.9,0.464080872083833
-2.9,-1.8,0.326147692507997
-2.9,-1.7,0.184955752998714
-2.9,-1.6,0.0419157967437124
-2.9,-1.5,-0.101542968296833
-2.9,-1.4,-0.243987149563799
-2.9,-1.3,-0.383993491883751
-2.9,-1.2,-0.520163098164175
-2.9,-1.1,-0.651135406710801
-2.9,-1,-0.775601785510322
-2.9,-0.9,-0.892318607648888
-2.9,-0.8,-1.00011967722114
-2.9,-0.7,-1.09792788157421
-2.9,-0.6,-1.1847659534613
-2.9,-0.5,-1.25976623557296
-2.9,-0.4,-1.32217934988212
-2.9,-0.3,-1.37138168518165
-2.9,-0.2,-1.40688162800136
-2.9,-0.1,-1.42832447464732
-2.9,0,-1.43549597528389
-2.9,0.1,-1.42832447464732
