X,Y,F
-1.51564483030598,1.84325767095277,2.10737065168011
1.16188590697988,-1.49096572876232,-1.01440850211256
0.5829311273021,-0.534714299145787,-0.0850424054424592
2.19998535960912,-1.96453957701208,-1.89687579017164
-1.2436435018302,1.69302746110899,1.59231785129996
-0.459272599653171,0.689104852659885,-0.0855911887141259
-2.68161281004586,0.367031305880992,-1.51741763058118
-1.54989458726484,1.78558060638271,1.86617255205692
2.79207455082612,2.40884124054779,6.1409783885651
0.91872250100568,-1.17360305324514,-0.398257348566236
-2.83307756246838,0.120350340642116,-1.83424341098447
1.54991750757906,-1.78550028400158,-1.86585863886136
-1.81020357432081,2.29724477447971,4.38827386184552
-2.93086072055876,1.65946217315725,-1.47886200837538
2.92871023433486,-0.957856661164634,2.61384558658169
-1.69297413264703,2.45706520868863,5.68230099192507
-2.41779899583613,-2.00716956495474,-2.44497387668303
0.0882642644197364,0.0524824073194718,-0.140536866917861
2.01542485668683,2.07309044224049,2.00355512659095
1.58259571916019,0.685660509319431,-1.31432456345806
-3,-3,-12.9
-3,-2.9,-11.6945
-3,-2.8,-10.576
-3,-2.7,-9.5415
-3,-2.6,-8.588
-3,-2.5,-7.7125
-3,-2.4,-6.912
-3,-2.3,-6.1835
-3,-2.2,-5.524
-3,-2.1,-4.9305
-3,-2,-4.4
-3,-1.9,-3.9295
-3,-1.8,-3.516
-3,-1.7,-3.1565
-3,-1.6,-2.848
-3,-1.5,-2.5875
-3,-1.4,-2.372
-3,-1.3,-2.1985
-3,-1.2,-2.064
-3,-1.1,-1.9655
-3,-1,-1.9
-3,-0.9,-1.8645
-3,-0.8,-1.856
-3,-0.7,-1.8715
-3,-0.6,-1.908
-3,-0.5,-1.9625
-3,-0.4,-2.032
-3,-0.3,-2.1135
-3,-0.2,-2.204
-3,-0.1,-2.3005
-3,0,-2.4
-3,0.1,-2.4995
-3,0.2,-2.596
-3,0.3,-2.6865
-3,0.4,-2.768
-3,0.5,-2.8375
-3,0.6,-2.892
-3,0.7,-2.9285
-3,0.8,-2.944
-3,0.9,-2.9355
-3,1,-2.9
-3,1.1,-2.8345
-3,1.2,-2.736
-3,1.3,-2.6015
-3,1.4,-2.428
-3,1.5,-2.2125
-3,1.6,-1.952
-3,1.7,-1.6435
-3,1.8,-1.284
-3,1.9,-0.870500000000001
-3,2,-0.4
-3,2.1,0.1305
-3,2.2,0.724000000000001
-3,2.3,1.3835
-3,2.4,2.112
-3,2.5,2.9125
-3,2.6,3.788
-3,2.7,4.7415
-3,2.8,5.776
-3,2.9,6.8945
-3,3,8.1
-2.9,-3,-12.4778
-2.9,-2.9,-11.2723
-2.9,-2.8,-10.1538
-2.9,-2.7,-9.1193
-2.9,-2.6,-8.1658
-2.9,-2.5,-7.2903
-2.9,-2.4,-6.4898
-2.9,-2.3,-5.7613
-2.9,-2.2,-5.1018
-2.9,-2.1,-4.5083
-2.9,-2,-3.9778
-2.9,-1.9,-3.5073
-2.9,-1.8,-3.0938
-2.9,-1.7,-2.7343
-2.9,-1.6,-2.4258
-2.9,-1.5,-2.1653
-2.9,-1.4,-1.9498
-2.9,-1.3,-1.7763
-2.9,-1.2,-1.6418
-2.9,-1.1,-1.5433
-2.9,-1,-1.4778
-2.9,-0.9,-1.4423
-2.9,-0.8,-1.4338
-2.9,-0.7,-1.4493
-2.9,-0.6,-1.4858
-2.9,-0.5,-1.5403
-2.9,-0.4,-1.6098
-2.9,-0.3,-1.6913
-2.9,-0.2,-1.7818
-2.9,-0.1,-1.8783
-2.9,0,-1.9778
-2.9,0.1,-2.0773
-2.9,0.2,-2.1738
-2.9,0.3,-2.2643
-2.9,0.4,-2.3458
-2.9,0.5,-2.4153
-2.9,0.6,-2.4698
-2.9,0.7,-2.5063
-2.9,0.8,-2.5218
-2.9,0.9,-2.5133
-2.9,1,-2.4778
-2.9,1.1,-2.4123
-2.9,1.2,-2.3138
-2.9,1.3,-2.1793
-2.9,1.4,-2.0058
-2.9,1.5,-1.7903
-2.9,1.6,-1.5298
-2.9,1.7,-1.2213
-2.9,1.8,-0.861799999999999
-2.9,1.9,-0.4483
-2.9,2,0.0222000000000002
-2.9,2.1,0.552700000000001
-2.9,2.2,1.1462
-2.9,2.3,1.8057
-2.9,2.4,2.5342
-2.9,2.5,3.3347
-2.9,2.6,4.2102
-2.9,2.7,5.1637
-2.9,2.8,6.1982
-2.9,2.9,7.3167
-2.9,3,8.5222
-2.8,-3,-12.0904
-2.8,-2.9,-10.8849
-2.8,-2.8,-9.76639999999999
-2.8,-2.7,-8.7319
-2.8,-2.6,-7.7784
-2.8,-2.5,-6.9029
-2.8,-2.4,-6.1024
-2.8,-2.3,-5.3739
-2.8,-2.2,-4.7144
-2.8,-2.1,-4.1209
-2.8,-2,-3.5904
-2.8,-1.9,-3.1199
-2.8,-1.8,-2.7064
-2.8,-1.7,-2.3469
-2.8,-1.6,-2.0384
-2.8,-1.5,-1.7779
-2.8,-1.4,-1.5624
-2.8,-1.3,-1.3889
-2.8,-1.2,-1.2544
-2.8,-1.1,-1.1559
-2.8,-1,-1.0904
-2.8,-0.9,-1.0549
-2.8,-0.8,-1.0464
-2.8,-0.7,-1.0619
-2.8,-0.6,-1.0984
-2.8,-0.5,-1.1529
-2.8,-0.4,-1.2224
-2.8,-0.3,-1.3039
-2.8,-0.2,-1.3944
-2.8,-0.1,-1.4909
-2.8,0,-1.5904
-2.8,0.1,-1.6899
-2.8,0.2,-1.7864
-2.8,0.3,-1.8769
-2.8,0.4,-1.9584
-2.8,0.5,-2.0279
-2.8,0.6,-2.0824
-2.8,0.7,-2.1189
-2.8,0.8,-2.1344
-2.8,0.9,-2.1259
-2.8,1,-2.0904
-2.8,1.1,-2.0249
-2.8,1.2,-1.9264
-2.8,1.3,-1.7919
-2.8,1.4,-1.6184
-2.8,1.5,-1.4029
-2.8,1.6,-1.1424
-2.8,1.7,-0.833899999999999
-2.8,1.8,-0.474399999999998
-2.8,1.9,-0.0608999999999993
-2.8,2,0.409600000000001
-2.8,2.1,0.940100000000001
-2.8,2.2,1.5336
-2.8,2.3,2.1931
-2.8,2.4,2.9216
-2.8,2.5,3.7221
-2.8,2.6,4.5976
-2.8,2.7,5.5511
-2.8,2.8,6.5856
-2.8,2.9,7.7041
-2.8,3,8.9096
-2.7,-3,-11.7366
-2.7,-2.9,-10.5311
-2.7,-2.8,-9.4126
-2.7,-2.7,-8.3781
-2.7,-2.6,-7.4246
-2.7,-2.5,-6.5491
-2.7,-2.4,-5.7486
-2.7,-2.3,-5.0201
-2.7,-2.2,-4.3606
-2.7,-2.1,-3.7671
-2.7,-2,-3.2366
-2.7,-1.9,-2.7661
-2.7,-1.8,-2.3526
-2.7,-1.7,-1.9931
-2.7,-1.6,-1.6846
-2.7,-1.5,-1.4241
-2.7,-1.4,-1.2086
-2.7,-1.3,-1.0351
-2.7,-1.2,-0.900600000000001
-2.7,-1.1,-0.802100000000001
-2.7,-1,-0.7366
-2.7,-0.9,-0.701100000000001
-2.7,-0.8,-0.692600000000001
-2.7,-0.7,-0.7081
-2.7,-0.6,-0.744600000000001
-2.7,-0.5,-0.799100000000001
-2.7,-0.4,-0.868600000000001
-2.7,-0.3,-0.950100000000001
-2.7,-0.2,-1.0406
-2.7,-0.1,-1.1371
-2.7,0,-1.2366
-2.7,0.1,-1.3361
-2.7,0.2,-1.4326
-2.7,0.3,-1.5231
-2.7,0.4,-1.6046
-2.7,0.5,-1.6741
-2.7,0.6,-1.7286
-2.7,0.7,-1.7651
-2.7,0.8,-1.7806
-2.7,0.9,-1.7721
-2.7,1,-1.7366
-2.7,1.1,-1.6711
-2.7,1.2,-1.5726
-2.7,1.3,-1.4381
-2.7,1.4,-1.2646
-2.7,1.5,-1.0491
-2.7,1.6,-0.7886
-2.7,1.7,-0.480100000000001
-2.7,1.8,-0.1206
-2.7,1.9,0.292899999999999
-2.7,2,0.763399999999999
-2.7,2.1,1.2939
-2.7,2.2,1.8874
-2.7,2.3,2.5469
-2.7,2.4,3.2754
-2.7,2.5,4.0759
-2.7,2.6,4.9514
-2.7,2.7,5.9049
-2.7,2.8,6.9394
-2.7,2.9,8.0579
-2.7,3,9.2634
-2.6,-3,-11.4152
-2.6,-2.9,-10.2097
-2.6,-2.8,-9.0912
-2.6,-2.7,-8.0567
-2.6,-2.6,-7.1032
-2.6,-2.5,-6.2277
-2.6,-2.4,-5.4272
-2.6,-2.3,-4.6987
-2.6,-2.2,-4.0392
-2.6,-2.1,-3.4457
-2.6,-2,-2.9152
-2.6,-1.9,-2.4447
-2.6,-1.8,-2.0312
-2.6,-1.7,-1.6717
-2.6,-1.6,-1.3632
-2.6,-1.5,-1.1027
-2.6,-1.4,-0.887200000000001
-2.6,-1.3,-0.713700000000002
-2.6,-1.2,-0.579200000000001
-2.6,-1.1,-0.480700000000001
-2.6,-1,-0.415200000000001
-2.6,-0.9,-0.379700000000001
-2.6,-0.8,-0.371200000000001
-2.6,-0.7,-0.386700000000001
-2.6,-0.6,-0.423200000000001
-2.6,-0.5,-0.477700000000001
-2.6,-0.4,-0.547200000000001
-2.6,-0.3,-0.628700000000001
-2.6,-0.2,-0.719200000000001
-2.6,-0.1,-0.815700000000001
-2.6,0,-0.915200000000001
-2.6,0.1,-1.0147
