X1,X2,Y
0.05,0.05,2.93063408816075E-05
0.05,2.05,1.7465395070857E-05
0.05,4.05,5.62444926010648E-06
0.05,6.05,-6.21649655064401E-06
0.05,8.05,-1.80574423613945E-05
0.05,10.05,-2.9898388172145E-05
0.15,0.05,0.00207775758682606
0.15,2.05,0.00123825957194684
0.15,4.05,0.000398761557067628
0.15,6.05,-0.000440736457811588
0.15,8.05,-0.0012802344726908
0.15,10.05,-0.00211973248757002
0.25,0.05,0.013582859212969
0.25,2.05,0.00809483528853709
0.25,4.05,0.00260681136410516
0.25,6.05,-0.00288121256032676
0.25,8.05,-0.00836923648475869
0.25,10.05,-0.0138572604091906
0.35,0.05,0.0428527870592127
0.35,2.05,0.025538529661551
0.35,4.05,0.00822427226388931
0.35,6.05,-0.00908998513377239
0.35,8.05,-0.0264042425314341
0.35,10.05,-0.0437184999290958
0.45,0.05,0.0934572294849771
0.45,2.05,0.0556967327233702
0.45,4.05,0.0179362359617633
0.45,6.05,-0.0198242607998436
0.45,8.05,-0.0575847575614505
0.45,10.05,-0.0953452543230574
0.55,0.05,0.162414809299338
0.55,2.05,0.0967926641278883
0.55,4.05,0.0311705189564386
0.55,6.05,-0.0344516262150111
0.55,8.05,-0.100073771386461
0.55,10.05,-0.16569591655791
0.65,0.05,0.242215038971449
0.65,2.05,0.144350376760762
0.65,4.05,0.046485714550076
0.65,6.05,-0.0513789476606103
0.65,8.05,-0.149243609871297
0.65,10.05,-0.247108272081983
0.75,0.05,0.324724763717459
0.75,2.05,0.193522838983132
0.75,4.05,0.0623209142488052
0.75,6.05,-0.0688810104855215
0.75,8.05,-0.200082935219848
0.75,10.05,-0.331284859954175
0.85,0.05,0.404253656252526
0.85,2.05,0.240918845645445
0.85,4.05,0.0775840350383635
0.85,6.05,-0.0857507755687175
0.85,8.05,-0.249085586175799
0.85,10.05,-0.41242039678288
0.95,0.05,0.477709367076134
0.95,2.05,0.284695481388807
0.95,4.05,0.0916815957014803
0.95,6.05,-0.101332289985847
0.95,8.05,-0.294346175673173
0.95,10.05,-0.4873600613605
1.05,0.05,0.541449474861057
1.05,2.05,0.322682010270731
1.05,4.05,0.103914545680405
1.05,6.05,-0.114852918909921
1.05,8.05,-0.333620383500247
1.05,10.05,-0.552387848090573
1.15,0.05,0.586308706956821
1.15,2.05,0.34941630010558
1.15,4.05,0.112523893254339
1.15,6.05,-0.124368513596901
1.15,8.05,-0.361260920448143
1.15,10.05,-0.598153327299384
1.25,0.05,0.593488131945991
1.25,2.05,0.353694947321348
1.25,4.05,0.113901762696705
1.25,6.05,-0.125891421927937
1.25,8.05,-0.36568460655258
1.25,10.05,-0.605477791177223
1.35,0.05,0.534001782993247
1.35,2.05,0.318243486834359
1.35,4.05,0.102485190675472
1.35,6.05,-0.113273105483416
1.35,8.05,-0.329031401642304
1.35,10.05,-0.544789697801191
1.45,0.05,0.373164749502069
1.45,2.05,0.222391113339617
1.45,4.05,0.0716174771771648
1.45,6.05,-0.0791561589852874
1.45,8.05,-0.22992979514774
1.45,10.05,-0.380703431310192
1.55,0.05,0.0796494794287435
1.55,2.05,0.0474678715787461
1.55,4.05,0.0152862637287488
1.55,6.05,-0.0168953441212486
1.55,8.05,-0.049076951971246
1.55,10.05,-0.0812585598212434
1.65,0.05,-0.363303323638598
1.65,2.05,-0.216514101966437
1.65,4.05,-0.0697248802942764
1.65,6.05,0.0770643413778844
1.65,8.05,0.223853563050045
1.65,10.05,0.370642784722206
1.75,0.05,-0.948104867378384
1.75,2.05,-0.565032193690148
1.75,4.05,-0.181959520001912
1.75,6.05,0.201113153686324
1.75,8.05,0.58418582737456
1.75,10.05,0.967258501062796
1.85,0.05,-1.63799639491014
1.85,2.05,-0.976179669693923
1.85,4.05,-0.314362944477704
1.85,6.05,0.347453780738515
1.85,8.05,1.00927050595473
1.85,10.05,1.67108723117095
1.95,0.05,-2.369407174851
1.95,2.05,-1.41207094258797
1.95,4.05,-0.454734710324939
1.95,6.05,0.50260152193809
1.95,8.05,1.45993775420112
1.95,10.05,2.41727398646415
2.05,0.05,-3.06158705961698
2.05,2.05,-1.82458218704446
2.05,4.05,-0.587577314471946
2.05,6.05,0.649427558100572
2.05,8.05,1.88643243067309
2.05,10.05,3.12343730324561
2.15,0.05,-3.63136290328666
2.15,2.05,-2.16414556862538
2.15,4.05,-0.696928233964107
2.15,6.05,0.770289100697171
2.15,8.05,2.23750643535845
2.15,10.05,3.70472377001973
2.25,0.05,-4.00924164117829
2.25,2.05,-2.389346028581
2.25,4.05,-0.769450415983712
2.25,6.05,0.850445196613577
2.25,8.05,2.47034080921087
2.25,10.05,4.09023642180816
2.35,0.05,-4.15259930774755
2.35,2.05,-2.47478140562733
2.35,4.05,-0.796963503507106
2.35,6.05,0.880854398613117
2.35,8.05,2.55867230073334
2.35,10.05,4.23649020285356
2.45,0.05,-4.05250133310803
2.45,2.05,-2.41512705710478
2.45,4.05,-0.77775278110154
2.45,6.05,0.859621494901702
2.45,8.05,2.49699577090495
2.45,10.05,4.13437004690819
2.55,0.05,-3.73253022836805
2.55,2.05,-2.2244372068052
2.55,4.05,-0.716344185242354
2.55,6.05,0.791748836320496
2.55,8.05,2.29984185788335
2.55,10.05,3.80793487944619
2.65,0.05,-3.24027491489272
2.65,2.05,-1.93107292907748
2.65,4.05,-0.621870943262238
2.65,6.05,0.687331042553
2.65,8.05,1.99653302836824
2.65,10.05,3.30573501418348
2.75,0.05,-2.63416429420967
2.75,2.05,-1.56985548846839
2.75,4.05,-0.505546682727108
