X1,X2,Y
1.01584214026012,1.61989856211466,-0.250298572687778
3.87612407993901,4.76313587247001,-0.203987843788056
3.36022871021652,5.27978318044445,-0.699414407316566
4.69681042013616,3.76158711562436,4.88269749181089
3.04109394423224,1.82365287666294,-0.150597186382934
2.89325108178734,0.470588324398405,1.31447434156903
4.60034957907636,0.350419567164597,-5.60003962323473
1.07195987002271,1.58680285515422,-0.0843322164589339
1.04299030502862,4.03817989591932,-3.23594402507519
0.748470218863448,2.41956045523276,-3.06422916308213
4.72543731257912,0.134640591599662,-5.94519169353126
4.92792781033272,4.41331755214215,1.72689333057721
0.219745146045402,3.14083740502615,-1.30788505502435
5.24453793930461,5.43099096923391,-3.40378715104352
2.58551819387021,4.84937337472787,0.432492786092161
2.87985765896269,2.3522336681495,-1.09345548179029
1.36826679247158,2.26504569192534,-3.76038970748429
2.12467504866064,4.82168066076042,0.556599770138663
3.38524357282679,0.195386108405745,-1.41994227340249
2.83153775975377,0.87068189074534,1.1795073034417
3.63112671545966,0.134644610442837,-2.79575315050641
1.03458944408563,5.46783033664521,3.53631901253794
4.43181950532175,1.68766445237856,0.672257280668945
1.65557975320974,1.67326770834002,-0.611548288050793
0.222951776423248,2.98610659378723,-1.31065151903626
1.13645162252627,5.65593107066954,4.40678160331731
0.240484471325875,1.18544419586785,0.537155031975899
0.219930286966248,5.4669978878384,0.896649101116545
2.51011684052882,3.27151207732305,-3.5121687288494
4.41685928597973,4.07392302122291,3.4207683025431
-0.05,-0.05,-0.299500249940484
-0.05,-0.03,-0.299740081987517
-0.05,-0.01,-0.299860021998236
-0.05,0.01,-0.299860021998236
-0.05,0.03,-0.299740081987517
-0.05,0.05,-0.299500249940484
-0.05,0.07,-0.299140621786759
-0.05,0.09,-0.298661341372807
-0.05,0.11,-0.298062600404404
-0.05,0.13,-0.297344638369955
-0.05,0.15,-0.296507742444699
-0.05,0.17,-0.29555224737585
-0.05,0.19,-0.294478535348694
-0.05,0.21,-0.293287035833727
-0.05,0.23,-0.291978225414869
-0.05,0.25,-0.290552627598835
-0.05,0.27,-0.289010812605745
-0.05,0.29,-0.287353397141039
-0.05,0.31,-0.285581044148805
-0.05,0.33,-0.283694462546607
-0.05,0.35,-0.281694406941933
-0.05,0.37,-0.279581677330357
-0.05,0.39,-0.277357118775556
-0.05,0.41,-0.275021621071289
-0.05,0.43,-0.272576118385501
-0.05,0.45,-0.270021588886658
-0.05,0.47,-0.2673590543525
-0.05,0.49,-0.264589579761341
-0.05,0.51,-0.261714272866091
-0.05,0.53,-0.258734283751172
-0.05,0.55,-0.255650804372497
-0.05,0.57,-0.252465068080705
-0.05,0.59,-0.249178349127837
-0.05,0.61,-0.245791962157651
-0.05,0.63,-0.242307261679785
-0.05,0.65,-0.238725641527967
-0.05,0.67,-0.235048534302504
-0.05,0.69,-0.231277410797259
-0.05,0.71,-0.227413779411353
-0.05,0.73,-0.223459185545825
-0.05,0.75,-0.219415210985495
-0.05,0.77,-0.215283473266268
-0.05,0.79,-0.211065625028143
-0.05,0.81,-0.206763353354177
-0.05,0.83,-0.202378379095677
-0.05,0.85,-0.197912456183882
