X,Y,F
-2.28776523733692,-1.36303536276404,4.11470510470996
0.390059355504359,1.76073723909462,0.239259197307935
1.35733394891893,2.30439969555112,3.57725129508048
2.92778119815695,0.92144491801072,2.54693025439473
2.96623019081686,-2.19924630206061,-6.53074007398265
-1.18504912457081,-2.47115225984509,3.89238263939581
1.35457737565846,-0.627951054281544,-1.39631699208855
-2.32236174524817,-1.32842345031174,4.07811213911079
0.651049991057033,-1.68992584401041,-0.293465263092877
-0.968876324121113,0.809658249795823,-0.4184101026382
1.20127704511426,-0.380869075046123,-0.731901919199253
2.32246512345096,1.32827558515786,3.50549771872945
-1.4546620814257,0.828089922160862,-0.795022392436663
-0.818748405626684,-0.840388282165022,0.483901629248511
2.43409593297031,1.78535254457625,5.24853421094608
1.32523459576192,-2.48075289732794,-4.19286928793931
0.0216489017525801,-2.55630511500787,-0.386680172842655
-0.99563668854433,-0.481629469776905,0.663276462985585
-0.635446192611811,1.53603461583518,-1.74467114234086
0.100748329679656,2.50832981697943,-0.724388183054006
-3,-3,8.71209668333493
-3,-2.9,8.80775365229944
-3,-2.8,8.8863986888538
-3,-2.7,8.88825206737532
-3,-2.6,8.76565777654928
-3,-2.5,8.49060735569487
-3,-2.4,8.05916181485649
-3,-2.3,7.49207351470722
-3,-2.2,6.83150982510154
-3,-2.1,6.13439582455169
-3,-2,5.46342708199956
-3,-1.9,4.87717140503129
-3,-1.8,4.42082227084868
-3,-1.7,4.11906376993351
-3,-1.6,3.97217353091435
-3,-1.5,3.95597888911063
-3,-1.4,4.02567321877702
-3,-1.3,4.12288991410025
-3,-1.2,4.18491719289176
-3,-1.1,4.15459890808828
-3,-1,3.98935824662338
-3,-0.9,3.66791967203149
-3,-0.8,3.19366786384915
-3,-0.7,2.59411335113861
-3,-0.6,1.91654920485049
-3,-0.5,1.22058450180107
-3,-0.4,0.568733362127679
-3,-0.3,0.0165453442798468
-3,-0.2,-0.396164608835841
-3,-0.1,-0.651602073889516
-3,0,-0.756802495307928
-3,0.1,-0.742520443294852
-3,0.2,-0.65837414342758
-3,0.3,-0.565011849844095
-3,0.4,-0.524536819448849
-3,0.5,-0.590702573174318
-3,0.6,-0.800426396958495
-3,0.7,-1.16796091403277
-3,0.8,-1.68264390910048
-3,0.9,-2.31058165769135
-3,1,-3
-3,1.1,-3.68941834230865
-3,1.2,-4.31735609089952
-3,1.3,-4.83203908596723
-3,1.4,-5.1995736030415
-3,1.5,-5.40929742682568
-3,1.6,-5.47546318055115
-3,1.7,-5.4349881501559
-3,1.8,-5.34162585657242
-3,1.9,-5.25747955670515
